cam1_X,cam1_Y,cam2_X,cam2_Y
528.345257,406.870177,587.184214,428.967446
548.486083,407.571448,607.452522,429.605766
569.254959,407.694714,629.057514,429.592569
589.414796,407.786691,648.657598,428.854940
610.173003,408.502451,669.623227,428.837358
630.305148,408.607649,690.524147,428.732238
650.439170,408.710923,711.481678,428.732228
671.176689,408.826497,733.131512,428.689096
691.297155,409.540437,754.096861,428.645482
711.417372,409.646219,775.036023,427.906186
731.540880,409.742438,795.285497,428.544831
752.260439,410.450053,815.606584,428.493929
772.363553,410.558045,837.223707,427.769117
792.471427,410.672562,857.586910,427.750720
812.566185,410.777395,878.520726,427.673513
833.268428,411.495641,900.136636,427.652362
853.352298,411.584810,920.400327,427.550905
873.427874,411.704582,941.411974,427.510020
365.420095,424.705499,420.198632,450.717887
386.231863,425.424568,441.084378,450.633776
406.427727,425.522434,461.300269,451.258106
427.230718,425.629279,481.604110,449.890687
448.014949,425.745328,502.442553,450.491941
468.201548,425.854645,524.053483,449.804200
488.388970,426.562825,544.370128,450.428967
509.154385,426.672504,565.241625,450.374857
529.341238,426.775322,585.539202,449.018350
550.102716,426.876714,606.512740,449.625781
570.261854,427.590304,627.397090,449.606641
590.431154,427.703615,648.332871,449.516833
611.171784,427.799497,669.282881,449.511434
631.307600,427.908558,689.566620,448.795394
651.461416,428.625714,710.503453,448.780736
672.198834,428.722163,732.855061,448.687484
692.318453,428.836402,753.095566,447.992100
712.441336,429.532665,774.026171,448.594093
733.160953,429.639047,793.693301,448.599468
753.285506,429.741338,815.322967,448.519391
773.405363,429.853916,836.273568,447.765585
793.511944,430.554705,857.227507,447.776007
814.223618,430.670590,878.195554,447.713037
834.315001,430.756030,899.170151,446.998372
854.396656,430.864482,920.143282,447.630071
874.496073,431.574756,940.503278,447.603757
366.970552,444.662912,419.168452,471.379889
387.197860,444.760936,439.397063,470.697190
407.406991,444.865676,461.000000,470.625629
428.209237,445.565952,481.263151,469.910918
449.002391,445.676318,502.127340,470.549599
469.180657,445.778369,523.071895,469.836089
489.977692,446.483970,544.013177,469.787108
510.157438,446.592795,564.229930,470.408244
530.331159,446.701983,584.519761,469.711018
550.511274,446.802268,606.126911,469.689348
571.258692,447.495271,626.410879,469.604681
591.435049,447.604840,647.318850,468.940588
612.183598,447.725661,668.319775,469.540931
632.324256,447.821467,689.225500,468.856642
652.481623,448.525119,710.166983,469.490822
673.222824,448.616035,731.128904,468.731695
693.349326,448.737906,751.464681,468.693942
